Feature,Gain,Cover,Frequency
vh_age,0.1808039776425993,0.24062237943842393,0.08728179551122195
pol_coverage_Max,0.15458459465779115,0.10956006402229124,0.024106400665004156
vh_value,0.09293171846645913,0.09298607565505161,0.08645054031587697
town_surface_area,0.0537097603992385,0.033149312535186805,0.07896924355777224
population,0.047606992721250324,0.03543730028797545,0.06733167082294264
pol_duration,0.04495480845039449,0.029700155690132766,0.06650041562759768
pol_no_claims_discount,0.04350471278245045,0.055578627015918855,0.058187863674147966
pol_coverage_Min,0.03918918158852095,0.044238730488254704,0.025768911055694097
vh_weight,0.03615910132421476,0.03441370810965207,0.04987531172069826
drv_age1,0.03514663763672581,0.028047277730247268,0.05320033250207814
vh_speed,0.03444970581175731,0.023487177616437694,0.04821280133000831
pol_sit_duration,0.032456859365568164,0.040722841708250954,0.051537822111388194
drv_age_lic1,0.026618599385134778,0.020655702899584506,0.04987531172069826
age_when_licensed,0.024393338411915225,0.037209950618850775,0.046550290939318374
drv_age2,0.02147137067926719,0.014719838203585254,0.03158769742310889
drv_age_lic2,0.01774305690323921,0.012126776390459074,0.02743142144638404
pol_coverage_Med2,0.01446535505712798,0.030440340826307966,0.011637572734829594
pol_usage_Professional,0.013578967905547596,0.012726181443590043,0.017456359102244388
pol_pay_freq_other,0.013091186537609927,0.01515175734222319,0.014962593516209476
vh_fuel_Gasoline,0.011683201978838115,0.016683390938096995,0.014131338320864505
vh_fuel_Diesel,0.009940957596795193,0.007424718878513848,0.014962593516209476
pol_coverage_Med1,0.008793332219315894,0.023580065436945043,0.00914380714879468
pol_pay_freq_Yearly,0.007599661005643242,0.00979896937951788,0.010806317539484621
year,0.005713448659202712,9.513878955141711e-4,0.010806317539484621
pol_usage_WorkPrivate,0.0036233335869366476,7.395803844612383e-4,0.004156275976724855
vh_type_Commercial,0.0033274870097168958,0.006855038846576742,0.0033250207813798837
pol_payd_No,0.003239442274962335,0.004160880156538815,0.004987531172069825
drv_sex1_F,0.0032076760452206805,0.003065292586721507,0.005818786367414797
pol_usage_other,0.003019058175652561,0.009508914965161513,0.005818786367414797
drv_sex2_M,0.0023439931771506786,1.8599377077263595e-5,0.0016625103906899418
pol_pay_freq_Monthly,0.0020497217924341175,4.267060959864374e-4,0.0033250207813798837
vh_type_Tourism,0.001800057841116458,0.0016267017184216964,0.0024937655860349127
vh_make_model_other,0.0017611217334829983,0.0010126028591813012,0.0024937655860349127
pol_usage_Retired,0.0016498347870062895,0.0013104529972226627,0.0024937655860349127
pol_pay_freq_Biannual,0.0013243518901968254,1.3847521215152316e-5,0.0016625103906899418
pol_payd_other,9.72495375479855e-4,0.0018158885107728148,0.0016625103906899418
drv_sex1_M,5.563375053949426e-4,2.944663012155205e-5,8.312551953449709e-4
vh_make_model_rthsjeyjgdlmkygk,3.232594193120854e-4,7.348341138730911e-7,0.0016625103906899418
drv_sex2_F,2.1130219932919358e-4,2.5819654153615742e-6,8.312551953449709e-4
